"job_id","company_name","job_title","job_location","job_schedule_type","annual_salary","job_posted_date"
226942,"Mantys","Data Analyst","Anywhere","Full-time","650000.00","2023-02-20 15:13:33"
547382,"Meta","Director of Analytics","Anywhere","Full-time","336500.00","2023-08-23 12:04:42"
552322,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.50","2023-06-18 16:03:12"
99305,"Pinterest Job Advertisements","Data Analyst, Marketing","Anywhere","Full-time","232423.00","2023-12-05 20:00:40"
1021647,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.00","2023-01-17 00:17:23"
168310,"SmartAsset","Principal Data Analyst (Remote)","Anywhere","Full-time","205000.00","2023-08-09 11:00:01"
731368,"Inclusively","Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.00","2023-12-07 15:00:13"
310660,"Motional","Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.00","2023-01-05 00:00:25"
1749593,"SmartAsset","Principal Data Analyst","Anywhere","Full-time","186000.00","2023-07-11 16:00:05"
387860,"Get It Recruit - Information Technology","ERM Data Analyst","Anywhere","Full-time","184000.00","2023-06-09 08:01:04"
