"job_title_short","skill_name","demand_count"
"Data Analyst","sql","7291"
"Data Analyst","excel","4611"
"Data Analyst","python","4330"
"Data Analyst","tableau","3745"
"Data Analyst","power bi","2609"
"Data Analyst","r","2142"
"Data Analyst","sas","1866"
"Data Analyst","looker","868"
"Data Analyst","azure","821"
"Data Analyst","powerpoint","819"
"Data Analyst","go","815"
"Data Analyst","aws","769"
"Data Analyst","word","720"
"Data Analyst","oracle","619"
"Data Analyst","snowflake","608"
"Data Analyst","sql server","600"
"Data Analyst","flow","500"
"Data Analyst","sheets","496"
"Data Analyst","sap","491"
"Data Analyst","jira","396"
"Data Analyst","javascript","389"
"Data Analyst","bigquery","374"
"Data Analyst","spark","361"
"Data Analyst","vba","333"
"Data Analyst","spss","318"
